X,Y,name,num,adress,shcuna,zerem,x_coord,y_coord,semel,level,ganenet,sayaat,רחוב,מספר_בית,icon_url
34.9814554297195,32.0884079932916,כלנית,1.00000000000,תרצה אתר 1,פסגות אפק,ממלכתי,198405.68974700000,666143.63183099998,"567891",ט. חובה,,,תרצה אתר,1.000000,./0.png
34.9774981296067,32.0886396519844,אמנון ותמר,1.00000000000,הרב גורן 3,פסגות אפק,ממ''ד,198032.15950700000,666170.09954900004,"567925",חובה,,,הרב גורן,3.000000,./0.png
34.9816177138931,32.0884685603153,אלה,1.00000000000,"הרב גורן 69
",פסגות אפק,ממלכתי,198421.02386600000,666150.31645699998,"567875",חובה,,,הרב גורן,69.000000,./0.png
34.9774932272711,32.0885333477181,סחלב,1.00000000000,הרב גורן 3,פסגות אפק,ממ''ד,198031.67190900000,666158.31243199995,"567941",ט. חובה,,,הרב גורן,3.000000,./0.png
34.9632422912113,32.0831985547917,שני,1.00000000000,גרטרוד עליון 16,פסגות אפק,ממלכתי,196685.00782699999,665569.65592000005,"620740",ט. חובה,,,גרטרוד עליון,16.000000,./0.png
34.9631946499505,32.0831144580385,יובל,1.00000000000,גרטרוד עליון 16,פסגות אפק,ממלכתי,196680.48920000001,665560.34048300004,"620732",ט. חובה,,,גרטרוד עליון,16.000000,./0.png
34.9633314835816,32.0832690968241,נחשון,1.00000000000,גרטרוד עליון 16,פסגות אפק,ממלכתי,196693.44589100001,665577.45950800006,"620724",חובה,,,גרטרוד עליון,16.000000,./0.png
34.9727991562639,32.0882993034723,אביב,1.00000000000,נילס בוהר 25,פסגות אפק,ממ''ד,197588.47845100000,666133.30114700005,"620682",חובה,,,פול סמואלסון,25.000000,./0.png
34.9727886027868,32.0885728118209,אשחר,1.00000000000,נילס בוהר 25,פסגות אפק,ממלכתי,197587.54728999999,666163.63265699998,"620765",ט. חובה,,,נילס בוהר,25.000000,./0.png
34.9726557209055,32.0884839371671,גלים,1.00000000000,נילס בוהר 25,פסגות אפק,ממ''ד,197574.98157599999,666153.80428200006,"620690",ט. חובה,,,נילס בוהר,25.000000,./0.png
34.9727678119265,32.0884237778444,מורן,1.00000000000,נילס בוהר 25,פסגות אפק,ממלכתי,197585.54906399999,666147.11047800002,"620773",חובה,,,נילס בוהר,25.000000,./0.png
34.9728817501167,32.0884020373829,תלתן,1.00000000000,נילס בוהר 25,פסגות אפק,ממלכתי,197596.30009100001,666144.67658199999,"620757",ט. חובה,,,נילס בוהר,25.000000,./0.png
34.9635968705097,32.0830696282774,דולב,1.00000000000,גרטוד עליון 20,פסגות אפק,ממלכתי,196718.45147199999,665555.28447099996,"574467",ט. חובה,,,גרטוד עליון,20.000000,./0.png
34.9635196085977,32.0829563505605,שילה,1.00000000000,גרטוד עליון 20,פסגות אפק,ממלכתי,196711.12917500001,665542.73938499996,"574459",חובה,,,גרטוד עליון,20.000000,./0.png
34.9634767446007,32.085378344637,חרצית,1.00000000000,קרל לנדשטיינר 2,פסגות אפק,ממלכתי,196707.68225899999,665811.32350000006,"567933",חובה,,,קרל לנדשטיינר,2.000000,./0.png
34.9633613997125,32.0852886907281,עירית,1.00000000000,קרל לנדשטיינר 2,פסגות אפק,ממלכתי,196696.77067999999,665801.40609900001,"567909",ט. חובה,,,קרל לנדשטיינר,2.000000,./0.png
34.9800037785614,32.0821515784117,שיבולת,1.00000000000,נתן אלתרמן 10 פינת חיים הרצוג,פסגות אפק,ממלכתי,198267.20506000001,665450.14201299998,"620823",חובה,,,נתן אלתרמן,10.000000,./0.png
34.9804074725583,32.0823080852149,קלמנטינה,1.00000000000,חיים הרצוג 27,פסגות אפק,ממלכתי,198305.35394999999,665467.41783900000,"574426",ט. חובה,,,חיים הרצוג,27.000000,./0.png
34.9809482250568,32.0826123129643,כרמים,1.00000000000,נתן אלתרמן 10,פסגות אפק,ממלכתי,198356.47632600000,665501.04776900006,"620807",חובה,,,נתן אלתרמן,10.000000,./0.png
34.9808209428311,32.0824362315291,עינב,1.00000000000,נתן אלתרמן 10,פסגות אפק,ממלכתי,198344.41917000001,665481.54700200004,"620781",ט. חובה,,,נתן אלתרמן,10.000000,./0.png
34.9802641115305,32.082028784256,דגנית,1.00000000000,"נתן אלתרמן 10 פינת חיים הרצוג
",פסגות אפק,ממלכתי,198291.75487100001,665436.47427600005,"620799",ט. חובה,,,נתן אלתרמן,10.000000,./0.png
